id	text	target label	predicted label
115.0	Ткань ужасная формы никакой(((.	negative	neutral
116.0	Доставка долгая,продавец не общительный,начиталась отзывов взяла на размер больше,и это был мой косяк.В целом недоволна	negative	neutral
155.0	заказ пришел чистый, без дефекта. НО!!!! маломерит на размера два, цвет пришел терракотовый. будьте внимательнее! фото отличается, да и оригиналы тоже друг от друга. брала каричневый, на фото каричневый совсем другого цвета. хотела тот, что на фото. нет ни одной этикетки, чтобы посмотреть уход, состав,размер. в составе полно синтетики,но приятной к телу.	negative	neutral
173.0	для Москвы один из самых неудачных вариантов. За аналогичную цену модно найти удобнее и лучшее, знаю по опыту. Номера неудобные. Зимой в них холодно. Помещение для завтрака маленькое, а сам он, особенно по меркам столицы не дотягивает. До метро далеко, что ощущается если вещей много. Персонал на уступки не идет: если в Вашем номере есть проблемы, то переселят в самом крайнем случае. WiFi за дополнительную плату, да и работает с перебоями.	negative	neutral
178.0	"Платье смело заказывайте.  В целом пойдет за такие деньги. Подкладка черная, поэтому блестки так не выглядят. Они не кофейные, а золотые. Цвет платья не соответствует фотографии. Но сшито отлично на рост 168, кг 52. Слишком большой вырез на спине, виден бюстгалтер, эту проблему нужно  будет как-то решать. Продавец на вопрос: "" Какая длина выреза на спине"" не отвечал, а просто выслал заказ."	positive	neutral
185.0	Товар не пришел, продавец вернул деньги.	positive	neutral
188.0	Швы не обработаны. Неприятный запах пластмассы.	negative	neutral
194.0	Был номер студио , все очень крохотное) Человеку массивному будет не повернуться. Смена белья раз в 3 дня , полотенца каждый день.Минус в том , что в комнате нет вентиляции. поэтому если вам не сменят полотенца они и останутся мокрыми. Так же минус в персонале, мы жили три недели и две недели нас встречали две не очень радушные женщины, потом сменились на более активных( может у них там посменно )Слышимость хорошая, но нам , видимо, повезло с соседями.Двуспальная кровать состоит из двух односпальных , матрасы разъезжаются, так что кто-то будет спать в дырке)	positive	neutral
203.0	заказала товар ориньируясь на описание,но описание не соответствовало действительности,кроме как расцветка,но это недоразумение быстро было улажено и поэтому я рекомендую пользоваться услугами этого продавца,так как я убедилась в его порядочности и честности.	negative	neutral
229.0	Немного не то чего ожидала, бюст не держит хоть и 4 крючка. Трусики оказались малы,  а сам пеньюар слишком большой.	positive	neutral
257.0	Совсем не высококачественный кашемир, а тоненькая синтетика. Очень жаль((( К качеству изделия никаких претензий все аккуратно то ли сшито, то ли связано. Увы!	negative	neutral
264.0	Мини отель в живописнейшем районе Москвы и далеко не бедном. Серебрянный бор.Первый разь побывала в этом отеле лет 12 назад.Романтическое уединенное место в городе, и в лесу одновременно, что может быть лучше.И вот недавно, спустя много лет судьба снова привела в этот отель.А там всё по прежнему, те же шторы, также мебель, то же ковровое покрытиеи даже старые телефоны, допотопный телевизор , который ловит 3,5 канала и музыкальный центр -а ля СССР который не работает! Интересно, за 17 лет существования отеля . его руководство выходило за забор ?На дворе 21 век, всё для клиента! А теперь ещё представьте запах ,как в привокзальной гостинице, въевшийся во всё, от пола до потолка за столько лет( во всех номерах разрешено курить!)Я не понимаю руководство отеля, которому наплевать на посетителей, если они есть конечно? .Ведь такое шикарное место в плане георасположения, отель из красного кирпича, что в принципе ЭКО, отличный бассейн и сауна, несколько видов массажа.Кстати работают девушки из Тайланда и очень профессионально делают массаж.Кухня замечательная, готовили там всегда вкусно.Но отель превращается в затрапезную гостиницу.	negative	neutral
271.0	Цвет как на картинке,но ткань чистая синтетика. Ни какой бирки с составом на водолазке не было.	positive	neutral
275.0	Очень сильно маломерит!  XL как S	positive	neutral
281.0	Ткань плотная, но покрой ужасный. Платье достаточно длинное, но при этом рукава короткие и талия сильно завышена. На параметры 88-67-92 в талии и бёдрах широко.	negative	neutral
285.0	по размеру	positive	neutral
289.0	ткань не очень понравилась буквы точно долго не продержаться (даже хз как стирать) на свой s взяла s села вроде нормально но было бы лучше если бы было чуть посвободнее футболка полностью не соответствует фотографиям ( те же буквы больше чем на оригинале ) можно же было повысить цену но при этом продавать качественные футболки а не вот такие моя первая вещь заказанная на али одно только разочарование крч	negative	neutral
311.0	Ставлю отлично, НО! Неоднозначная футболка. Как написано во многих отзывах - абсолютная синтетика. Взяла L ( ношу 42-44, хотела оверсайз) - о результате судите сами. Приложенные фото сделаны после одной стирки.	positive	neutral
316.0	юбка оказалась коротка к сожалению, да и торчащих ниток было достаточно. очень жаль	negative	neutral
325.0	Пришел за 20 дней в омск, отслеживался, заказала размер С на третий, не подошел, оказался маленький, очень жаль	negative	neutral
329.0	для меня великоват, без запаха. постираю, посмотрим	negative	positive
334.0	Жутко маломерит, на мой 48 XXL не застегнулась. Рубашка пришла с одной сломанной пуговицей. Цвет унылый, не такой как на фото, ткань выглядит старой и застиранной, на ощупь неприятная, очень плотная.	negative	neutral
336.0	К сожалению не получила,деньги вернули.Спасибо за честность.	negative	neutral
354.0	В отеле были первый раз, так же как и в Стамбуле)))) Самый главный плюс это местоположение отеля: в 5 минутах от основных достопримечательностей , и в то же время в стороне от туристического потока. Номера маленькие, но с точки зрения экскурсионного тура, это не напрягает. Убираются каждый день, постоянно меняют белье и полотенца.Персонал практически не разговаривает на русском, но приветлив и доброжелателен.Завтраки обычные , голодными не останетесь)))) Интернетом реально пользоваться в фойе отеля.	positive	neutral
356.0	доставка меньше месяца. подошло по размеру	positive	neutral
361.0	Куртка такая же как на фото. Однако, какая-то неловкая. Может просто не на мою фигуру. Плечи больше ,чем надо и резинка не украшает.	positive	neutral
365.0	Куртка в жизни выглядит лучше, чем на фото. Внутри синтепон, но думаю зиму не потянет. А на холодную осень в самый раз. Доставка быстрая. Качество хорошее, без нареканий. Брала xl это наш 42. Если хотите носить с тёплым свитером, то надо брать на размер больше обычного. Фото не прилагаю, их итак здесь много.	positive	neutral
369.0	к сожалению, расстроили меня, материал неприятным оказался, толстая, колючая синтетика, а так нареканий к продавцу нет	positive	neutral
380.0	КЛАССНАЯ!!!!	positive	negative
384.0	Довольно просторные номера за умеренную плату, однако смутило качество интернета - подключился не с первого раза и работал медленно. Также завтрак за 19 евро оставляет желать лучшего - выбор очень маленький. В остальном - чисто, опрятно, близко от метро и центра вообще.	positive	neutral
401.0	Лосины в целом неплохие, очень теплые и создают впечатление, что вы просто в колготках. Но пришли с разводами. До 170 точно подойдут. Более подробный отзыв вы сможете посмотреть на ITao Milana_Mia https://ru.itao.com/u/327764468	positive	neutral
410.0	Не самый лучший отель в котором мне довелось побывать за те же деньги. Но по меркам Парижа - он достаточно не дорогой, находится в хорошем районе близко от центра. Номера совсем небольшие со старым ремонтом, но тем не менее выглядят чисто и аккуратно.	positive	neutral
414.0	прекрасный свитер, правда пришел грязный и с запахом, но все проблемы решились после стирки	positive	neutral
430.0	Пальто маловато,хотя по параметрам мне подходит (брала ХЛ на 64 кг,169 см,рус.размер 46-48),я бы предпочла взять больше, тогда бы было шире в плечах и на бедрах запах был бы больше. Касательно плеч, мне кажется, что тут дело не столько в размере,сколько в крое,оно скроено на узкие плечи,видно даже по шву сзади,что рукав очень глубоко втачан в спинку. Ткань верха на ощупь и по ощущениям - совершенная синтетика. Про рукава пишут правду - коротковат рукав, но и не 3/4. Положительное: выглядит пальто действительно как на фото,цвет соответствует,очень красивый. САМОЕ ГЛАВНОЕ МОЕ НЕОЖИДАННОЕ ОТКРЫТИЕ - это то,что пальто утепленное,на тонком слое синтепона! Кто пишет,что у пальто нет застежки,в комплекте прилагается липучка,которую нужно пришить к любому месту, где вам угодна застежка.Но,конечно,других вариантов масса. Все было аккуратно упаковано,продавец отвечал на все вопросы.Доставка - за 12 дней,курьер из Пони привез домой.	positive	neutral
431.0	"Действующий музей совка. Благо, с чувством юмора в порядке у нас, иначе пришлось бы переезжать. Девушка администратор действительно хорошо соображает - по телефону назвала за этот же номер цену на 80% выше, чем на сайте.Тараканов нет - слишком холодно. Щели в рамах года постройки заткнуты газетками. Любопытство раздирало посмотреть, какого года газеты, но сдержались - вдруг это и есть ""реновация"", а мы тут своими ручонками... В канун восьмого марта особое праздничное настроение задавала наряженная елка и новогодние шарики по стенам в холле. В номерах тихо. Диву даешься - как такое удачное расположение занимает такой неудачный отель."	negative	neutral
449.0	Впечатление, будто побывал в прошлом лет на 30 назад - по интерьерам, номеру (типичная советская гостиница), питанию. Достаточно шумно - плохая шумоизоляция, особенно в номерах, выходящих на проезжие улицы (Беговая, Ленинградский проспект).	negative	neutral
457.0	Все по размеру	positive	neutral
458.0	она не короткая,рукава короткие тоже	positive	neutral
464.0	Коряво прошито, тряпка для пола, качество соответствует цене	negative	neutral
472.0	Качество на 100р. Нитки торчат, майка кривая, цвет блеклый, в отличие от фото. По улице в такой не походишь, а на даче можно)	negative	neutral
478.0	Шли долго.Качество не очень.Написано осень зима.Пришли тонкие.	negative	neutral
495.0	"На ОГ 96 и ОТ 78 см подошло. Но одно плечо на 1 см больше другого. Поэтому сидит плохо. Отдала в ателье исправлять огрехи. Много ниток. В общем, не в восторге. Открыла спор, отсудила половину стоимости, но и оставшихся денег это ""чудо"" не стоит. Не знаю, кому ЭТО может понравится. А ведь ориентировалась на отзывы."	negative	neutral
500.0	The fabric is very thin, the photo is different.	negative	neutral
506.0	"В нашем номере окно выходило в вентиляционную шахту. Мы, конечно, расстроились, хотя у этого момента есть бонусы - нет шума с улицы и не так дует в открытое окно. Предполагаю, что и в жару там прохладнее. Отель стоит в самом центре - почти на углу ипподрома, вдалеке от шумных улиц, но в 5 минутах ходьбы до остановки трамвая ""султанахмет"". Это старое здание в несколько окон, внизу пустынный холл с диванчиками и креслами. У гостиницы нет своего кафе, но это даже плюс - тихо. Дают ключи с тяжеленной грушей - видимо, чтобы с собой не таскали, а отдавали на рецепцию В лифте не работала внутренняя дверь и ее никто не собирался чинить. То есть запросто могли попасть вещи или рука между кабиной и стеной. Очень небезопасно. В номере две кровати с прикроватными тумбочками, шкаф, кресло, холодильник, трюмо, пуфик, сейф, в шкафу есть вешалки (неудобные), давали тапочки, телевизор с турецкими каналами. Освещение очень неудачное: есть одна лампа, и она не в центре комнаты, а как бра на стене около одной из кроватей, и около этой же кровати на тумбочке стоит ночник. Около второй кровати нет ни общей лампы, ни ночника. Розеток не хватает. Чтобы зарядить телефоны, отключали холодильник, фен, чайник. В номере есть трюмо с лампой над ним. На трюмо стоит поднос с чайником (на сайте отеля нет информации о чайнике), при заезде там лежали пакетики с чаем и растворимым кофе, сахар, их докладывали. В ванной фен, но нет полочек под зеркалом - очень неудобно. Очень тесная душевая кабина. внизу створки кабинки не смыкались полностью и заливало весь пол. Дают только мыло! Шапочек для душа и шампуней не дают!!!В ванной стояло очень маленькое помойное ведро, которое не всегда убирали. Уборка была очень поверхностной. За 6 ночей нам белье поменяли только один раз. Однажды положили полотенце с дыркой. Кровати жесткие, первые ночи спалось плохо. Очень маленькая жиденькая подушечка. Вместо одеяла плотное х/б покрывало. На рецепции попросила дополнительную подушку и покрывало - дали без проблем. Есть кондиционер, но были в октябре, он не требовался.В ветреные ночи дверь, даже будучи закрытой, ходила ходуном и грохотала от сквозняка - мы тапочками подтыкали дверь. Главное преимущество и фишка отеля - терраса. Это остекленная с трех сторон терраса на последнем этаже отеля под крышей с выходом на узкую открытую террасу с видом на Босфор, Голубую мечеть и Айю-Софию. По утрам там накрывают завтрак. Плюс в том, что она доступна для посещения до полуночи - можно прийти и посидеть с чем-нибудь своим за столиками внутри или снаружи. Еще одно достоинство отеля - wi-fi очень хороший в номере! этого не написано на сайте. Завтрак каждый день одинаковый - белый хлеб, хлопья, йогурт, сухофрукты, 2 вида сыра, 3 вида колбасы, огурцы, помидоры, иногда вареное яйцо, сливочное масло, шоколадная паста, 3 вида варенья, мёд, 3 вида оливок, горячее - омлет, лазанья, сосиски с овощным лечо-пастой, кофе, чай из пакетика, химический сок. В целом - я довольна расположением и террасой. Готова сюда еще раз приехать, если не найду что-то лучше."	positive	negative
509.0	Качество товара оставляет желать лучшего 	negative	neutral
525.0	Товар не пришёл, но деньги вернули 	negative	neutral
529.0	На фото было пальто. Приталенное. По колено. Получила куртку, не похожую на фото.	negative	neutral
538.0	Жуткий  запах от этого пальто. Очень долгая доставка- ждала месяц. Размер не соответствует и уж точно пальто не свободного кроя. Чтобы выглядело как на модели нужно размера на 3 больше покупать. единственный плюс оно реально теплое.	negative	neutral
552.0	Очень сильно маломерит XL как XS  если не меньше.	negative	neutral
553.0	маленькая не соответствует размеру. а по качеству очень хорошая.	negative	neutral
554.0	на параметры об 95, от 70 продавец рекомендовал 28 размер. но они малы, не застегиваются. качество замечательное.	negative	neutral
565.0	не качественные швы разошлось по швам	negative	neutral
567.0	very bad product	negative	neutral
574.0	В описании указан хлопок, в реале и на бирке полиэстер.	negative	neutral
576.0	На самом деле цвета не очень,да и матерьял тоже.доставка быстрая.	positive	neutral
592.0	Товар не пришел. Деньги вернули. Но продавец хороший и милый. Просто, может быть, мне не повезло.	negative	neutral
595.0	"в такие отели нужно ездить по бонусным программам, 246 за три ночи двухместный стандарт! а если взять улучшеный стандарт - получишь по флаеру в пять евро за каждый день прибывания и халат с тапочками. Да мебель старая, но ничего не сломано и работает как надо. а вид из окна нужен ""тюленям"", которые пролёживают бока перед телеком, а не путешественникам!!!"	positive	neutral
599.0	The size needs to be smaller, this one is big in my legs and back part	positive	neutral
607.0	размер м явно на бедра больше 95 ,так вроде качество не плохое.	positive	neutral
611.0	Очень долгая доставка. Пришлось даже открыть спор... Товар задержался в пути, скорее всего где-то затерялся на почте. Штаны получила, качество хорошее, сзади кармашки имеются не фиктивные. К продавцу претензий нет, за товар спасибо.	positive	neutral
612.0	Доставка перечеркнула все достоинства брюк. 1,5 месяца вместо положенных 5-15 дней. За такую цену доставка априори не должна быть долгой. Пришли все заказы мелкие, заказанные позже этих брюк. И я считаю, что это вина продавца. За организацию доставки продавцу две звезды. Теперь о брюках: хорошие, качественные, ни единой нитки. Взяла м на ог 70, об 90. Тонкие колготы влезут, толще нет. И если икры крупные, то будет тесно. 	negative	neutral
615.0	Отель расположен прямо в центре, совсем рядом с плащадью Каталунии, буквально в сотне метров. Рядом есть станция метро и начинается знаменитый бульвар Рамблас. Забронировали его на ЧипТикетс совсем за дешево, около 100 евро за ночь без завтраков, которые там очень дорогие - около 16 евро за один. Номер чистенький, хотя и небольшой. санузел нормальный, с биде и ванной. Завтракали рядом в переулочке, вкусно и дешево.	positive	neutral
616.0	Были в августе . Номер премиум с видом на город. Окошко было маленьким и очень высоко ((( к сожалению вида никого не было((( номер грязный и очень вонял ((( тапочки и шампунь были включены в стоимость. Тапочки нам не достались , а шампунь один пакетик на неделю((( но есть и плюсы- стоимость, расположение и бесплатный чай ))) 	negative	neutral
620.0	раздел был - большие размеры. Неправильный раздел.	negative	neutral
650.0	сразу не заметила, на одной штанине брак, очень тонкое место, просвечивает, поэтому только 2 звезды, годится только для домашнего использования	negative	neutral
683.0	Останавливаюсь в отеле третий раз. В прошлый раз - в 2014 году. С тех пор завтракали стали вкуснее и разнообразнее, сантехника поистрепалась (вода плохо уходит в слив, душ подтекает), цены на номера возмужали, персонал стал более вежливым. И только одно остается без изменений - если вам достался номер, выходящий окнами на Казанскую улицу, можете сразу выселяться и убегать: ночью орёт музыка из бара на 1ом этаже, шумят беспрерывно шныряющие машины, кричат люди. Вы не сможете заснуть даже с бирушами (я пыталась, запихивала их в самый центр головы). Кондиционеров нет. Окно открыть невозможно по причине невозможного шума. Ну и деталь на любителя - шторы пропускают максимально возможное количество света круглые сутки. Вместе с шумом это даёт потрясающий бодрящий эффект. Словом - спать невозможно. Но если вам достанется номер с окнами во двор - будет вам счастье.	positive	negative
689.0	по размеру не подошла, рукава очень короткие и очень прозрачная	negative	neutral
691.0	Мне оказался мал (мала чашка), хотя по описанию должен был подойти. Я уже и пушики вытащила, все-равно чашка мала. К сожалению.	negative	neutral
694.0	Парижский отель Normandy 4*, в котором мне довелось прожить пару ночей, категорически не соответствует на данный момент звездности 4*. Да, когда – то это был великолепный отель, но сейчас впечатление такого он не производит. Расположение прекрасное, ничего не могу сказать – буквально сто метров до Лувра, у сада Тюильри, пешком можно обойти весь центр, отличный безопасный район. Но вот от прежнего блеска не осталось и следа – видимо, бюджета на полную реновацию не хватает, а жаль. Normandy 4* - старый отель, грязная обшарпанная мебель, неприятный запах старины, хотя завтраки неплохие – буфет. Персонал приветливый, радует, что говорят на английском – во многих французских отелях принципиально понимают только французский.	negative	neutral
718.0	номер просторный, вполне чистый, но очень сильно был прокурен.кровать большая, просторная, вид на дмитровское шоссе, поэтому очень шумно.персонал на ресепшн недружелюбный (наверно после ночной смены).расстраивает то, что совершенно нет парковки. нет, парковка есть, но неохраняемая, на ней страшно оставить машину, т.к. рядом находится торговой центр и постоянно бродят люди. машину пришлось ставить у макдональдса (который находится в торговом центре как раз сбоку, где гостиница).	positive	neutral
719.0	В начале октября находились в гостинице Славянка. Снимали люкс для троих. Сам номер чистый, два туалета, хорошая мебель, 3 телевизора. Интересно, что при звонке на ресепшн, девушка сказали, что для 3-х у них сейчас нет номеров. При этом я тут же зашёл и смог забронировать 3-х комнатный люкс через Booking.com. Завтрак включён, шведский стол. Выбор еды большой и все было вкусно. WiFi отлично работает на всей территории отеля. В общем на 2 дня оказался неплохой отель. 	positive	neutral
19084.0	..	negative	neutral
730.0	Заказывала на рост 170, пришло на пятиклашку	negative	neutral
735.0	Размер не соответствует, заказывали L ,а по факту пришла размер S . Доставка три недели, посылка трекится всю дорогу.качество хорошее. Четыре звезды за размер.	positive	neutral
736.0	Не подошло 	negative	neutral
746.0	товар к сожалению не пришел,  но деньги продавец вернул,  общительный.	positive	neutral
750.0	Ткань жуткая синтетика, крайне неприятная к телу. Размер брала больше чем ношу, но все равно это рубашка на хоббита! 	negative	neutral
759.0	не подошел размер	negative	neutral
764.0	Пуховик классный! тёплый, очень качественный. материал непромокаемый. но у меня не работает молния на левом кармане. бегунок сбит. висит на одной половинке молнии( не знаю что делать. разочарована этим очень (( надеялась, что все будет в порядке. трек отслеживался на всем протяжении пути.	negative	neutral
771.0	Он совершенство не тёплый ( искусственный материал)	negative	neutral
19170.0	Синтетика	positive	neutral
823.0	на рост 168 см, размер м коротко	positive	neutral
824.0	кофта нормальная, но за доставку только одна звез да.надо предупреждать, то доставка ужастным сдэк.2 месяца до мос квы. потом как всегда проблемы с доставкой. это же сдэк.	negative	neutral
828.0	Я заказала серые. Пришли очень быстро,но трикотаж не очень.	negative	neutral
833.0	Вместо кофты пришла вот эта подвеска.	negative	neutral
837.0	очень тонкий,не стоит своих денег	negative	neutral
858.0	кофта пришла короткая, а не длинная как на фотографии.	negative	neutral
860.0	Материал колючий, на швах торчат нитки, размер xs-s не больше.	negative	neutral
866.0	на фото выглядят как колготки, по факту это легенцами,правда продавец носки положил отдельно, за такую цену у нас в РФ можно купить шикарные колготки, просьба не дурить покупателей	negative	neutral
875.0	Размер маловат. Рост 162, грудь 98. брала 2XLL	positive	neutral
879.0	Написано что рубашка хлопок, а она оказалась синтетикой... не в восторге я от нее	negative	neutral
880.0	абсолютно другого цвета и материал другой намного хуже чем на фото.	negative	neutral
881.0	Мне не понравилось качество товара,да и с размерной сеткой беда(	negative	neutral
890.0	Короткая и размеры не точные . 	negative	neutral
904.0	не соответствует размерная сетка на 42-44 размер М маленький	negative	neutral
911.0	Ggg	negative	neutral
927.0	4 звезды только за очень быструю доставку. Не о какой шерсти речь даже не идет. носки тонкие, синтетика с хб. размер максимум до 37. на вид приятные для новогоднего настрония подойдут.	positive	neutral
938.0	Заказ шёл чуть меньше месяца . Приятное на ощупь , немного торчат нитки , но не страшно . Размер мал, в груди очень маленький , хотя брала максимальный размер. 	negative	neutral
939.0	Останавливались на сутки в этом отеле. Отель расположен фактически в самом центре города. Персонал приветливый и доброжелательный. Говорит по русски. Завтраки хорошие. Даже бутылка столичной водки стоит). На этом плюсы заканчиваются. В номерах по чистоте средне. В номере почти высшей ценовой категории нет даже тапочек. Бельё вроде чистое, но мятое. В сан узле тоже сомнительная чистота. Где-то и ржавчина проглядывает и жёлтые подтёки. Второй раз точно не остановимся в данном отеле из-за того, что ценник не соответствует прежложеннвм усдугам и чистоте.	positive	neutral
952.0	Качество хорошее, ткань приятная. Доставка месяц. С размером не угадала, заказала размер XXL на свой 52, все в обтяжку.	negative	positive
953.0	Ожидала розовый топ, как на картинке у продавца. В итоге пришёл бежевый. Очень неприятно, но придётся носить такой.  А по качеству ткани могу сказать, что хорошая. 	negative	neutral
955.0	модель на очень стройных. Размер мой 48, заказала  xl. и он сел не очень хорошо, по саободнее был бы лучше. Заказывала одну модель, пришла вообще другая.	negative	neutral
957.0	майка классная,но исполнение очень хромает. все розы с зацепками,сеточка на которой пришиты розы сбоку разорвалась и будет рваться дальше. я очень расстроена. такую вещь даже не оденешь,сбоку в сетке уже видна дыра и нитки распускаются.	negative	neutral
977.0	Забронировали данный отель,чтобы отметить день рождения мужа на 1 день!+ Близко от Всех ресторанов,магазинов,базаров и т.д.- Маленькие номера,плохой слив канализации,вид из окна,шумная сплит система,плохая изоляция,жёлтая вода в бассейне,жёсткая и скрипучая кровать,если идти в туалет,то свет мешает спать.На не понравилось!!!	negative	neutral
